danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,label
0.523,0.489,1,-10.043,0,0.0301,0.352,0.24,0.108,0.325,77.37,audio_features,3QI5bIozef0HZ1kJnA2RdT,spotify:track:3QI5bIozef0HZ1kJnA2RdT,https://api.spotify.com/v1/tracks/3QI5bIozef0HZ1kJnA2RdT,https://api.spotify.com/v1/audio-analysis/3QI5bIozef0HZ1kJnA2RdT,273040,4,54
0.629,0.808,1,-6.939,0,0.0578,0.578,0.0,0.109,0.779,155.887,audio_features,2ZWxngKhr90tiStZ2LUWQ8,spotify:track:2ZWxngKhr90tiStZ2LUWQ8,https://api.spotify.com/v1/tracks/2ZWxngKhr90tiStZ2LUWQ8,https://api.spotify.com/v1/audio-analysis/2ZWxngKhr90tiStZ2LUWQ8,172694,4,56
0.54,0.932,9,-4.201,1,0.0625,0.343,0.0,0.905,0.554,176.025,audio_features,6OHGjBE0LvIGTlRP7KMpdh,spotify:track:6OHGjBE0LvIGTlRP7KMpdh,https://api.spotify.com/v1/tracks/6OHGjBE0LvIGTlRP7KMpdh,https://api.spotify.com/v1/audio-analysis/6OHGjBE0LvIGTlRP7KMpdh,327017,4,58
0.554,0.638,9,-6.449,1,0.0493,0.583,0.0,0.079,0.807,167.937,audio_features,14uWxelOuAUajP8fDvc0Ct,spotify:track:14uWxelOuAUajP8fDvc0Ct,https://api.spotify.com/v1/tracks/14uWxelOuAUajP8fDvc0Ct,https://api.spotify.com/v1/audio-analysis/14uWxelOuAUajP8fDvc0Ct,220438,4,60
0.563,0.839,7,-6.596,0,0.0488,0.766,0.0,0.873,0.651,160.029,audio_features,2iH7RnVhofwr9NhaQ6r44K,spotify:track:2iH7RnVhofwr9NhaQ6r44K,https://api.spotify.com/v1/tracks/2iH7RnVhofwr9NhaQ6r44K,https://api.spotify.com/v1/audio-analysis/2iH7RnVhofwr9NhaQ6r44K,227413,4,62
0.778,0.786,0,-8.463,1,0.0491,0.157,0.0,0.349,0.883,96.038,audio_features,5M8rc7DOM5MW1F8eP0OX9a,spotify:track:5M8rc7DOM5MW1F8eP0OX9a,https://api.spotify.com/v1/tracks/5M8rc7DOM5MW1F8eP0OX9a,https://api.spotify.com/v1/audio-analysis/5M8rc7DOM5MW1F8eP0OX9a,170120,4,64
0.719,0.953,5,-4.89,0,0.0527,0.566,8.28e-06,0.659,0.725,109.001,audio_features,7ezk6Fzan6hPpT6XqiJNWS,spotify:track:7ezk6Fzan6hPpT6XqiJNWS,https://api.spotify.com/v1/tracks/7ezk6Fzan6hPpT6XqiJNWS,https://api.spotify.com/v1/audio-analysis/7ezk6Fzan6hPpT6XqiJNWS,190400,4,66
0.455,0.888,11,-7.744,1,0.0763,0.194,1.86e-05,0.764,0.593,104.919,audio_features,1JISGjYOQoiJe6xc7CWnQo,spotify:track:1JISGjYOQoiJe6xc7CWnQo,https://api.spotify.com/v1/tracks/1JISGjYOQoiJe6xc7CWnQo,https://api.spotify.com/v1/audio-analysis/1JISGjYOQoiJe6xc7CWnQo,206920,4,68
0.653,0.931,10,-5.569,1,0.0794,0.593,0.0,0.955,0.579,95.982,audio_features,3flxltmjtskiHFIybmwAa7,spotify:track:3flxltmjtskiHFIybmwAa7,https://api.spotify.com/v1/tracks/3flxltmjtskiHFIybmwAa7,https://api.spotify.com/v1/audio-analysis/3flxltmjtskiHFIybmwAa7,206813,4,70
0.611,0.771,2,-8.938,1,0.103,0.7,1.27e-06,0.953,0.943,167.587,audio_features,26oOM9isvepAvP8xD4Qbcn,spotify:track:26oOM9isvepAvP8xD4Qbcn,https://api.spotify.com/v1/tracks/26oOM9isvepAvP8xD4Qbcn,https://api.spotify.com/v1/audio-analysis/26oOM9isvepAvP8xD4Qbcn,197093,4,72
0.48,0.84,7,-9.152,0,0.0727,0.325,0.0,0.95,0.675,75.802,audio_features,70wHJTH7M64u5NBrdKBKFl,spotify:track:70wHJTH7M64u5NBrdKBKFl,https://api.spotify.com/v1/tracks/70wHJTH7M64u5NBrdKBKFl,https://api.spotify.com/v1/audio-analysis/70wHJTH7M64u5NBrdKBKFl,230160,4,74
0.571,0.746,7,-6.524,1,0.034,0.744,0.0,0.846,0.809,81.973,audio_features,0j1syF5BFSty3vFoaj0vsX,spotify:track:0j1syF5BFSty3vFoaj0vsX,https://api.spotify.com/v1/tracks/0j1syF5BFSty3vFoaj0vsX,https://api.spotify.com/v1/audio-analysis/0j1syF5BFSty3vFoaj0vsX,225040,4,76
0.579,0.913,5,-5.866,1,0.0639,0.4,0.0,0.37,0.942,117.129,audio_features,0rOQyLZJ9oASgtdoDZgrmK,spotify:track:0rOQyLZJ9oASgtdoDZgrmK,https://api.spotify.com/v1/tracks/0rOQyLZJ9oASgtdoDZgrmK,https://api.spotify.com/v1/audio-analysis/0rOQyLZJ9oASgtdoDZgrmK,233387,4,78
0.517,0.707,2,-6.91,1,0.0417,0.672,0.0,0.986,0.607,143.974,audio_features,7vg4ESJLw2k57MrAh4AsJF,spotify:track:7vg4ESJLw2k57MrAh4AsJF,https://api.spotify.com/v1/tracks/7vg4ESJLw2k57MrAh4AsJF,https://api.spotify.com/v1/audio-analysis/7vg4ESJLw2k57MrAh4AsJF,234576,4,80
0.553,0.882,7,-5.574,1,0.0884,0.581,1.19e-06,0.975,0.574,89.614,audio_features,6o225QFFaqc0KAF9hZzAVc,spotify:track:6o225QFFaqc0KAF9hZzAVc,https://api.spotify.com/v1/tracks/6o225QFFaqc0KAF9hZzAVc,https://api.spotify.com/v1/audio-analysis/6o225QFFaqc0KAF9hZzAVc,440619,4,82
0.735,0.776,11,-10.06,1,0.233,0.593,0.0,0.175,0.899,104.821,audio_features,7bdhM9AJqWAIHooF4sh3wW,spotify:track:7bdhM9AJqWAIHooF4sh3wW,https://api.spotify.com/v1/tracks/7bdhM9AJqWAIHooF4sh3wW,https://api.spotify.com/v1/audio-analysis/7bdhM9AJqWAIHooF4sh3wW,277933,4,84
0.723,0.694,0,-6.694,1,0.0802,0.313,0.0,0.052,0.739,106.359,audio_features,7lzfMZak2HjNPXXSxksjPB,spotify:track:7lzfMZak2HjNPXXSxksjPB,https://api.spotify.com/v1/tracks/7lzfMZak2HjNPXXSxksjPB,https://api.spotify.com/v1/audio-analysis/7lzfMZak2HjNPXXSxksjPB,168948,4,86
0.596,0.451,5,-9.468,1,0.0404,0.64,3.52e-06,0.158,0.486,148.045,audio_features,5Ikos3uiBfPYAf7EZfz8t3,spotify:track:5Ikos3uiBfPYAf7EZfz8t3,https://api.spotify.com/v1/tracks/5Ikos3uiBfPYAf7EZfz8t3,https://api.spotify.com/v1/audio-analysis/5Ikos3uiBfPYAf7EZfz8t3,228133,4,88
0.564,0.905,6,-7.647,0,0.102,0.648,0.0,0.416,0.808,110.042,audio_features,2bPHklEGDcE8Gf7lMZZW5g,spotify:track:2bPHklEGDcE8Gf7lMZZW5g,https://api.spotify.com/v1/tracks/2bPHklEGDcE8Gf7lMZZW5g,https://api.spotify.com/v1/audio-analysis/2bPHklEGDcE8Gf7lMZZW5g,173707,4,90
0.613,0.711,2,-7.046,1,0.193,0.599,0.0,0.655,0.853,97.098,audio_features,5BSflJ1ehYRK7cqn9hrYGd,spotify:track:5BSflJ1ehYRK7cqn9hrYGd,https://api.spotify.com/v1/tracks/5BSflJ1ehYRK7cqn9hrYGd,https://api.spotify.com/v1/audio-analysis/5BSflJ1ehYRK7cqn9hrYGd,202627,4,92
0.677,0.862,2,-8.156,1,0.142,0.12,0.0,0.979,0.863,109.713,audio_features,0Urt7qiCvbK3MXTGWhN0SE,spotify:track:0Urt7qiCvbK3MXTGWhN0SE,https://api.spotify.com/v1/tracks/0Urt7qiCvbK3MXTGWhN0SE,https://api.spotify.com/v1/audio-analysis/0Urt7qiCvbK3MXTGWhN0SE,229453,4,94
0.73,0.361,11,-16.401,0,0.0574,0.329,0.0,0.345,0.751,132.164,audio_features,5mVYvilgRiCvztnnjGW0Ef,spotify:track:5mVYvilgRiCvztnnjGW0Ef,https://api.spotify.com/v1/tracks/5mVYvilgRiCvztnnjGW0Ef,https://api.spotify.com/v1/audio-analysis/5mVYvilgRiCvztnnjGW0Ef,196493,4,96
0.674,0.419,7,-12.413,0,0.268,0.747,0.0,0.0797,0.87,150.131,audio_features,7fs6csqE3EltCrESv6cn0J,spotify:track:7fs6csqE3EltCrESv6cn0J,https://api.spotify.com/v1/tracks/7fs6csqE3EltCrESv6cn0J,https://api.spotify.com/v1/audio-analysis/7fs6csqE3EltCrESv6cn0J,144760,4,98
0.735,0.783,2,-11.895,1,0.345,0.327,0.0,0.19,0.829,94.488,audio_features,57E1ka54d8zrIy0VzE1EAV,spotify:track:57E1ka54d8zrIy0VzE1EAV,https://api.spotify.com/v1/tracks/57E1ka54d8zrIy0VzE1EAV,https://api.spotify.com/v1/audio-analysis/57E1ka54d8zrIy0VzE1EAV,153440,4,100
0.552,0.883,2,-6.874,0,0.163,0.514,0.0,0.977,0.711,115.046,audio_features,5gaaYjMifOCZX72OtAuP8H,spotify:track:5gaaYjMifOCZX72OtAuP8H,https://api.spotify.com/v1/tracks/5gaaYjMifOCZX72OtAuP8H,https://api.spotify.com/v1/audio-analysis/5gaaYjMifOCZX72OtAuP8H,270307,4,102
0.625,0.702,2,-7.615,1,0.0349,0.569,0.0,0.0881,0.715,160.112,audio_features,3ys00KMmd7UQ2EKlwqmMrp,spotify:track:3ys00KMmd7UQ2EKlwqmMrp,https://api.spotify.com/v1/tracks/3ys00KMmd7UQ2EKlwqmMrp,https://api.spotify.com/v1/audio-analysis/3ys00KMmd7UQ2EKlwqmMrp,194625,4,104
0.609,0.776,7,-8.464,1,0.0484,0.674,0.0,0.289,0.808,164.884,audio_features,73qdxqaA7MDAtchtyx3vr9,spotify:track:73qdxqaA7MDAtchtyx3vr9,https://api.spotify.com/v1/tracks/73qdxqaA7MDAtchtyx3vr9,https://api.spotify.com/v1/audio-analysis/73qdxqaA7MDAtchtyx3vr9,157419,4,106
0.51,0.679,9,-6.154,1,0.0362,0.694,0.0,0.497,0.788,91.796,audio_features,3th4tYA5cZYNVAW0y5WgRX,spotify:track:3th4tYA5cZYNVAW0y5WgRX,https://api.spotify.com/v1/tracks/3th4tYA5cZYNVAW0y5WgRX,https://api.spotify.com/v1/audio-analysis/3th4tYA5cZYNVAW0y5WgRX,170076,4,108
0.734,0.228,7,-4.731,0,0.53,0.889,0.00642,0.102,0.522,162.524,audio_features,00ZKeP47bZtswtANkvxz2j,spotify:track:00ZKeP47bZtswtANkvxz2j,https://api.spotify.com/v1/tracks/00ZKeP47bZtswtANkvxz2j,https://api.spotify.com/v1/audio-analysis/00ZKeP47bZtswtANkvxz2j,221538,5,110
0.782,0.631,10,-8.473,0,0.592,0.123,0.0,0.0808,0.866,113.427,audio_features,2InS5VWKJQbsFBKOsf1cJB,spotify:track:2InS5VWKJQbsFBKOsf1cJB,https://api.spotify.com/v1/tracks/2InS5VWKJQbsFBKOsf1cJB,https://api.spotify.com/v1/audio-analysis/2InS5VWKJQbsFBKOsf1cJB,641941,5,112
0.876,0.578,6,-1.275,1,0.122,0.431,3.99e-06,0.0716,0.721,86.618,audio_features,6zLBR9izBeZ1d0pfuwJgRa,spotify:track:6zLBR9izBeZ1d0pfuwJgRa,https://api.spotify.com/v1/tracks/6zLBR9izBeZ1d0pfuwJgRa,https://api.spotify.com/v1/audio-analysis/6zLBR9izBeZ1d0pfuwJgRa,131538,5,114
0.53,0.783,3,-5.737,1,0.334,0.0458,0.000102,0.117,0.554,126.708,audio_features,4zNy0cxc4p36OLdPr0sI6h,spotify:track:4zNy0cxc4p36OLdPr0sI6h,https://api.spotify.com/v1/tracks/4zNy0cxc4p36OLdPr0sI6h,https://api.spotify.com/v1/audio-analysis/4zNy0cxc4p36OLdPr0sI6h,178081,4,116
0.73,0.517,6,-7.079,0,0.159,0.143,0.0,0.0979,0.362,129.987,audio_features,3XIXklO3e0uWUAUkOR7NLI,spotify:track:3XIXklO3e0uWUAUkOR7NLI,https://api.spotify.com/v1/tracks/3XIXklO3e0uWUAUkOR7NLI,https://api.spotify.com/v1/audio-analysis/3XIXklO3e0uWUAUkOR7NLI,162993,4,118
0.622,0.662,11,-5.46,0,0.108,0.654,0.0,0.0736,0.801,89.858,audio_features,4AKsSRxe6z6woOAsXr5gVA,spotify:track:4AKsSRxe6z6woOAsXr5gVA,https://api.spotify.com/v1/tracks/4AKsSRxe6z6woOAsXr5gVA,https://api.spotify.com/v1/audio-analysis/4AKsSRxe6z6woOAsXr5gVA,144000,4,120
0.625,0.34,5,-12.004,1,0.0873,0.763,4.99e-05,0.354,0.36,130.231,audio_features,2uhw2oYbugGJbn10wipNX5,spotify:track:2uhw2oYbugGJbn10wipNX5,https://api.spotify.com/v1/tracks/2uhw2oYbugGJbn10wipNX5,https://api.spotify.com/v1/audio-analysis/2uhw2oYbugGJbn10wipNX5,120014,4,122
0.958,0.558,2,-9.076,1,0.301,0.478,0.000124,0.563,0.666,124.969,audio_features,1dNaW9Zy3lSgwylHwR75Ro,spotify:track:1dNaW9Zy3lSgwylHwR75Ro,https://api.spotify.com/v1/tracks/1dNaW9Zy3lSgwylHwR75Ro,https://api.spotify.com/v1/audio-analysis/1dNaW9Zy3lSgwylHwR75Ro,161305,4,124
0.659,0.644,4,-5.403,0,0.0997,0.223,0.0,0.139,0.75,86.759,audio_features,6LSza8vBsCd7xLk13cYhIv,spotify:track:6LSza8vBsCd7xLk13cYhIv,https://api.spotify.com/v1/tracks/6LSza8vBsCd7xLk13cYhIv,https://api.spotify.com/v1/audio-analysis/6LSza8vBsCd7xLk13cYhIv,191321,4,126
0.879,0.651,0,-2.6,0,0.0529,0.0948,0.0,0.124,0.505,130.066,audio_features,4wjDiZGsZYQqKkXyPcQGF6,spotify:track:4wjDiZGsZYQqKkXyPcQGF6,https://api.spotify.com/v1/tracks/4wjDiZGsZYQqKkXyPcQGF6,https://api.spotify.com/v1/audio-analysis/4wjDiZGsZYQqKkXyPcQGF6,190101,4,128
0.863,0.96,11,-1.458,1,0.0492,0.497,0.00526,0.0853,0.586,130.118,audio_features,0fABszUFNbNq9IW503Gj8v,spotify:track:0fABszUFNbNq9IW503Gj8v,https://api.spotify.com/v1/tracks/0fABszUFNbNq9IW503Gj8v,https://api.spotify.com/v1/audio-analysis/0fABszUFNbNq9IW503Gj8v,92093,4,130
0.921,0.55,3,-4.736,0,0.369,0.196,1.41e-05,0.0947,0.848,129.847,audio_features,2Vl7x4BkNhhJkEmQQMcV0V,spotify:track:2Vl7x4BkNhhJkEmQQMcV0V,https://api.spotify.com/v1/tracks/2Vl7x4BkNhhJkEmQQMcV0V,https://api.spotify.com/v1/audio-analysis/2Vl7x4BkNhhJkEmQQMcV0V,122995,4,132
0.556,0.659,11,-0.845,0,0.0942,0.148,0.0,0.294,0.754,86.634,audio_features,1ACALdBWViTpLBC14Ecv8E,spotify:track:1ACALdBWViTpLBC14Ecv8E,https://api.spotify.com/v1/tracks/1ACALdBWViTpLBC14Ecv8E,https://api.spotify.com/v1/audio-analysis/1ACALdBWViTpLBC14Ecv8E,148615,4,134
0.931,0.604,0,-1.41,0,0.0573,0.456,0.0,0.0488,0.864,129.926,audio_features,0EPxmvsG1BY5td4aTOkWBF,spotify:track:0EPxmvsG1BY5td4aTOkWBF,https://api.spotify.com/v1/tracks/0EPxmvsG1BY5td4aTOkWBF,https://api.spotify.com/v1/audio-analysis/0EPxmvsG1BY5td4aTOkWBF,144039,4,136
0.726,0.31,1,-6.004,1,0.606,0.103,0.0,0.0949,0.415,130.054,audio_features,7ad8Dl0dVmj6i3hfRxUKoD,spotify:track:7ad8Dl0dVmj6i3hfRxUKoD,https://api.spotify.com/v1/tracks/7ad8Dl0dVmj6i3hfRxUKoD,https://api.spotify.com/v1/audio-analysis/7ad8Dl0dVmj6i3hfRxUKoD,198557,4,138
0.588,0.497,8,-6.978,0,0.189,0.67,0.000603,0.243,0.511,71.85,audio_features,4gvePWCd0GfkC40QshflUy,spotify:track:4gvePWCd0GfkC40QshflUy,https://api.spotify.com/v1/tracks/4gvePWCd0GfkC40QshflUy,https://api.spotify.com/v1/audio-analysis/4gvePWCd0GfkC40QshflUy,267795,4,140
0.796,0.586,6,-2.479,0,0.0356,0.59,0.0,0.124,0.305,130.023,audio_features,6V3J5pbU5yBvB5zxPSyP5v,spotify:track:6V3J5pbU5yBvB5zxPSyP5v,https://api.spotify.com/v1/tracks/6V3J5pbU5yBvB5zxPSyP5v,https://api.spotify.com/v1/audio-analysis/6V3J5pbU5yBvB5zxPSyP5v,192078,4,142
0.878,0.88,1,0.047,1,0.0856,0.401,0.00716,0.0983,0.962,129.926,audio_features,04oolcObomYhQ5VZpsHh1z,spotify:track:04oolcObomYhQ5VZpsHh1z,https://api.spotify.com/v1/tracks/04oolcObomYhQ5VZpsHh1z,https://api.spotify.com/v1/audio-analysis/04oolcObomYhQ5VZpsHh1z,206865,4,144
0.885,0.823,7,-5.309,1,0.233,0.155,0.0,0.103,0.878,130.022,audio_features,0K1oCudr2sTfkuNaFL1Dyo,spotify:track:0K1oCudr2sTfkuNaFL1Dyo,https://api.spotify.com/v1/tracks/0K1oCudr2sTfkuNaFL1Dyo,https://api.spotify.com/v1/audio-analysis/0K1oCudr2sTfkuNaFL1Dyo,153232,4,146
